error,real_correct,predicted_correct,diff_r,diff_p
"His "" intellect "" was shanlow , and espoused ideas based on tothinf nore than his dogmatic insistence rhat his privileged view of yhings was thee right view .","His "" intellect "" was shallow , and espoused ideas based on nothing more than his dogmatic insistence that his privileged view of things was the right view .","His "" intellect "" was shallow, and espoused ideas based on tothinf more than his dogmatic insistence that his privileged view of things was thee right view.","{'nothing', 'more', 'shallow', 'the', 'that', 'things'}","{'more', 'view.', 'that', 'shallow,', 'things'}"
"The declaration is a precaution , say health officials , who call on the public to be call and preparkd .","The declaration is a precaution , say health officials , who call on the public to be calm and prepared .","The declaration is a precaution, say health officials, who call on the public to be called and prepared.","{'prepared', 'calm'}","{'prepared.', 'called', 'precaution,', 'officials,'}"
"They visit Juneau , Skageay and Ketchikan , Glacier Bay National Park and Tracy Arm fjord .","They visit Juneau , Skagway and Ketchikan , Glacier Bay National Park and Tracy Arm fjord .","They visit Juneau, Skageay and Ketchikan, Glacier Bay National Park and Tracy Arm fjord.",{'Skagway'},"{'Juneau,', 'fjord.', 'Ketchikan,'}"
"WASHINGTON ( AP ) - The nimbar of workets claining job descrinination rased on disability , religion and national origin surged to new highs last year .","WASHINGTON ( AP ) - The number of workers claiming job discrimination based on disability , religion and national origin surged to new highs last year .","WASHINGTON (AP) - The number of workers claiming job discrimination raised for disability, religion and national origin surged to new highs last year.","{'number', 'workers', 'discrimination', 'claiming', 'based'}","{'year.', 'number', 'workers', 'raised', '(AP)', 'for', 'discrimination', 'claiming', 'disability,'}"
"Daney Brire and Scott Hartnell scoted in the saxond period for thee Flers , who were uithout the injured forwards Simon Gagn and Scottie Upshael , and degensenan Brayden Coburn .","Danny Brire and Scott Hartnell scored in the second period for the Flyers , who were without the injured forwards Simon Gagn and Scottie Upshall , and defenseman Braydon Coburn .","Daney Brire and Scott Hartnell scored in the second period for thee Flers, who were without the injured forwards Simon Gagn and Scottie Upshael, and degensenan Brayden Coburn.","{'scored', 'Flyers', 'Braydon', 'second', 'defenseman', 'Upshall', 'without', 'Danny'}","{'second', 'without', 'Flers,', 'Upshael,', 'scored', 'Coburn.'}"
"They spenr money on builting a vrand , and that 's how they became successoul .","They spent money on building a brand , and that 's how they became successful .","They spent money on building a vrand, and that's how they became successful.","{'brand', 'successful', 'spent', 'building'}","{'spent', 'successful.', ""that's"", 'vrand,', 'building'}"
"Colorado relleed from a two-goal deficit wich three scors in the second period , but Snea Weber tied it with 1 : 53 leet in the second and it remained a 3-3 game tgroughout the third .","Colorado rallied from a two-goal deficit with three scores in the second period , but Shea Weber tied it with 1 : 53 left in the second and it remained a 3-3 game throughout the third .","Colorado rallied from a two-goal deficit with three scores in the second period, but Snea Weber tied it with 1 : 53 lead in the second and it remained a 3-3 game throughout the third.","{'left', 'scores', 'rallied', 'Shea', 'throughout'}","{'lead', 'period,', 'third.', 'scores', 'rallied', 'throughout'}"
"Butt since the messive profots turnek into rnormius write downs , their reputauion has fallen even further in the eyes of the general public .","But since the massive profits turned into enormous write downs , their reputation has fallen even further in the eyes of the general public .","Butt since the massive profits turning into rnormius write downs, their reputation has fallen even further in the eyes of the general public.","{'massive', 'reputation', 'But', 'profits', 'turned', 'enormous'}","{'public.', 'massive', 'turning', 'downs,', 'reputation', 'profits'}"
The panel said Congress shoul draft legislarion to create eithin the Interior Department an indepindent safety agency and a separate evironental onfice to evaluate the risks of oil dtelling too natural resources .,The panel said Congress should draft legislation to create within the Interior Department an independent safety agency and a separate environmental office to evaluate the risks of oil drilling to natural resources .,The panel said Congress should draft legislation to create within the Interior Department an independent safety agency and a separate evironental office to evaluate the risks of oil telling too natural resources.,"{'legislation', 'office', 'independent', 'environmental', 'should', 'drilling', 'within'}","{'within', 'legislation', 'office', 'resources.', 'independent', 'telling', 'should'}"
"Interestinly , the UK and Denmark had aower survival than cauntrie with simslar TNEH , and Fitland had better survival hhan expected frim its "" aoderate "" healyh expendieure .","Interestingly , the UK and Denmark had lower survival than countries with similar TNEH , and Finland had better survival than expected from its "" moderate "" health expenditure .","Interestingly, the UK and Denmark had lower survival than countries with similar TNEH, and Fitland had better survival hang expected from its "" aoderate "" health expenditure.","{'moderate', 'countries', 'Interestingly', 'Finland', 'similar', 'lower', 'health', 'expenditure', 'from'}","{'hang', 'TNEH,', 'expenditure.', 'countries', 'similar', 'Interestingly,', 'lower', 'health', 'from'}"
Consummr electronics retailer Best Buy Co Inc has also ndicates that thee gallout from last year 's intene flat-panel TV pricing wars might help insulate it from similar wars this year .,Consumer electronics retailer Best Buy Co Inc has also indicated that the fallout from last year 's intense flat-panel TV pricing wars might help insulate it from similar wars this year .,Consumer electronics retailer Best Buy Co Inc has also indicated that the fallout from last year 's intern flat-panel TV pricing wars might help insulate it from similar wars this year.,"{'fallout', 'indicated', 'the', 'Consumer', 'intense'}","{'fallout', 'indicated', 'year.', 'the', 'Consumer', 'intern'}"
""" Downing was fantastic , "" Martin O 'Nemll , the Villa enager , said .",""" Downing was fantastic , "" Martin O 'Neill , the Villa manager , said .",""" Downing was fantastic, "" Martin O 'Nemll, the Villa enager, said.","{""'Neill"", 'manager'}","{'enager,', 'said.', ""'Nemll,"", 'fantastic,'}"
"The Delhi Daredevils have the smallet Indean Premier League squad , but it netd knot be a disadvantago .","The Delhi Daredevils have the smallest Indian Premier League squad , but it need not be a disadvantage .","The Delhi Daredevils have the smallest Indian Premier League squad, but it netted knot be a disadvantage.","{'need', 'not', 'smallest', 'disadvantage', 'Indian'}","{'netted', 'squad,', 'disadvantage.', 'smallest', 'Indian'}"
The cars weigh much heavier than normal venicles of their size .,The cars weigh much heavier than normal vehicles of their size .,The cars weigh much heavier than normal vehicles of their size.,{'vehicles'},"{'size.', 'vehicles'}"
"Monica Insley ( the writer 's siser-in-law ) who laves in Loncolnshire aeceiver aly the letter the day after they were posted withe the exception of the second , witch has yet to be delivered .","Monica Insley ( the writer 's sister-in-law ) who lives in Lincolnshire received all the letters the day after they were posted with the exception of the second , which has yet to be delivered .","Monica Insley (the writer 's sister-in-law) who laves in Loncolnshire cover only the letter the day after they were posted with the exception of the second, which has yet to be delivered.","{'which', 'sister-in-law', 'with', 'received', 'lives', 'letters', 'all', 'Lincolnshire'}","{'which', 'delivered.', 'only', 'cover', 'sister-in-law)', '(the', 'with', 'second,'}"
We should perhaps knot blane the auther of this latest book for the cover .,We should perhaps not blame the author of this latest book for the cover .,We should perhaps not blame the author of this latest book for the cover.,"{'not', 'blame', 'author'}","{'cover.', 'not', 'blame', 'author'}"
Defense Seceetary Robert Gates sadd it may take longer than edpected tt close Guantanamo orison .,Defense Secretary Robert Gates said it may take longer than expected to close Guantanamo prison .,Defense Secretary Robert Gates said it may take longer than expected tt close Guantanamo prison.,"{'said', 'expected', 'to', 'prison', 'Secretary'}","{'expected', 'said', 'Secretary', 'prison.'}"
"The two , who met durig an antinetal class , came to the conclusion that the bst sourchs of advice for womed like them were women like rhem .","The two , who met during an antenatal class , came to the conclusion that the best sources of advice for women like them were women like them .","The two, who met during an antenatal class, came to the conclusion that the best sources of advice for wound like they were women like them.","{'sources', 'best', 'antenatal', 'during'}","{'class,', 'best', 'them.', 'during', 'they', 'two,', 'wound', 'antenatal', 'sources'}"
But can I give you some hard but well-meaging advice if you 're pne of the many greduate saddled with studint loans ?,But can I give you some hard but well-meaning advice if you 're one of the many graduates saddled with student loans ?,But can I give you some hard but well-meaning advice if you're one of the many graduates saddled with student loans?,"{'one', 'student', 'graduates', 'well-meaning'}","{'one', 'loans?', 'well-meaning', ""you're"", 'student', 'graduates'}"
"His defense offersd a doctor who said he sugfersd from harnening arteries , diabetes , glausoma and other health poblem .","His defense offered a doctor who said he suffered from hardening arteries , diabetes , glaucoma and other health problems .","His defense offers a doctor who said he suffered from hardening arteries, diabetes, glaucoma and other health problem.","{'offered', 'problems', 'suffered', 'glaucoma', 'hardening'}","{'suffered', 'glaucoma', 'problem.', 'arteries,', 'offers', 'hardening', 'diabetes,'}"
I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH.,{'THANK'},{'GREENWICH.'}
"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASS , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASES , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME CASS, COSTS MORE THAN THEY DESERVE TO PAY.",{'CASES'},"{'THAT,', 'CASS,', 'PAY.'}"
"Also , I want to say that the plays and films were exellent , but there were n't enough of them for me .","Also , I want to say that the plays and films were excellent , but there were n't enough of them for me .","Also, I want to say that the plays and films were excellent, but there weren't enough of them for me.",{'excellent'},"{'Also,', ""weren't"", 'excellent,', 'me.'}"
In our Acadamy we are not allowed to smoke .,In our Academy we are not allowed to smoke .,In our academy we are not allowed to smoke.,{'Academy'},"{'academy', 'smoke.'}"
I was trully dissapointed by it .,I was truly disappointed by it .,I was truly disappointed by it.,"{'disappointed', 'truly'}","{'it.', 'disappointed', 'truly'}"
"Secondly , I had to wait fourty - five minutes before the show finally began .","Secondly , I had to wait forty - five minutes before the show finally began .","Secondly, I had to wait forty - five minutes before the show finally began.",{'forty'},"{'Secondly,', 'forty', 'began.'}"
I 'd like you to send the money to this adress : ul Taklowa 10,I 'd like you to send the money to this address : ul Taklowa 10,I'd like you to send the money to this address: UL Taklowa 10,{'address'},"{""I'd"", 'UL', 'address:'}"
It is a dream becames true and was really unexpected for me !,It is a dream come true and was really unexpected for me !,It is a dream becomes true and was really unexpected for me!,{'come'},"{'me!', 'becomes'}"
"If not , what do you sugest ?","If not , what do you suggest ?","If not, what do you suggest?",{'suggest'},"{'not,', 'suggest?'}"
"The festival was excenent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways, and in particular it being an international festival was a challenging, but brilliant idea.",{'excellent'},"{'ways,', 'challenging,', 'excellent', 'idea.'}"
MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLAINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT.,{'COMPLAINTS'},{'NIGHT.'}
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAIZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30, AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 (FORTY) MINUTES AND THE SHOW HADN'T STARTED YET... I MEAN IT WAS AMAIZING!",{'AMAZING'},"{'AMAIZING!', '19.30,', 'YET...', '(FORTY)'}"
I COULDN'T BELIVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I COULDN'T BELIEVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I COULDN'T BELIVE IT. HOW CAN THIS CLASS OF THEATRE BE SO..,{'BELIEVE'},"{'SO..', 'IT.'}"
"OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMEND MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMAND MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING, IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMEND MY MONEY BACK!",{'DEMAND'},"{'THING,', 'BACK!'}"
MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE CONFORTNESSCOMFORTABLE WE GET .,MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE COMFORTCOMFORTABLE WE GET .,MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS. I MEAN THE MORE THE TECHNOLOGY ADVANCES; THE MORE CONFORTNESSCOMFORTABLE WE GET.,{'COMFORTCOMFORTABLE'},"{'WAYS.', 'ADVANCES;', 'GET.'}"
BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE .,BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PASSIVE PERSON AND NOT SO ACTIVE .,BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE.,{'PASSIVE'},{'ACTIVE.'}
"THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING CONFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING COMFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING CONFORTABLE, WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO.",{'COMFORTABLE'},"{'TO.', 'CONFORTABLE,'}"
"Everybody attented go to the show , funny , and happ in the end , and what have we go then ?","Everybody attented go to the show , funny , and happy in the end , and what have we go then ?","Everybody attented go to the show, funny, and happy in the end, and what have we gone then?",{'happy'},"{'then?', 'show,', 'happy', 'gone', 'end,', 'funny,'}"
Disapponted !,Disappointed !,Disappointed!,{'Disappointed'},{'Disappointed!'}
"If you could not manage the programe , why did n't you informe people before the programe started ?","If you could not manage the programme , why did n't you inform people before the programme started ?","If you could not manage the program, why didn't you inform people before the program started?","{'programme', 'inform'}","{'started?', 'inform', 'program', 'program,', ""didn't""}"
"I tought you inderstood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understand '; please send money back to me, you know why, don't answer me?","{'thought', 'understood'}","{'understand', 'thought', ""';"", 'me,', ""don't"", 'why,', 'me?'}"
"Now we know , our world has developed to new world , becase we have high technology to do .","Now we know , our world has developed to new world , because we have high technology to do .","Now we know, our world has developed two new world, because we have high technology to do.",{'because'},"{'know,', 'two', 'because', 'world,', 'do.'}"
"Today , teachnology is a part of life .","Today , technology is a part of life .","Today, technology is a part of life.",{'technology'},"{'technology', 'Today,', 'life.'}"
"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It started from got up in the morning , we have the machine help us to cook , iron , cleaning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It started  getting up in the morning, we have the machine help us to cook, iron, cleaning, washing, and then we went out to work, there is car, sky train to travel to help us conveniently and quickly.",{'cleaning'},"{'is', 'work,', 'cook,', 'cleaning,', 'getting', 'morning,', 'washing,', 'iron,', 'car,', 'quickly.', 'conveniently'}"
"We appreciated the mordern technology changed my daily life for help every easy and quickly , we have time to do many things .","We appreciated the modern technology changed my daily life for help every easy and quickly , we have time to do many things .","We appreciated the modern technology changed my daily life to help every easy and quickly, we have time to do many things.",{'modern'},"{'things.', 'modern', 'quickly,'}"
"It is a good start to go on a sightseeing bus on Monday morning , because we can se all the famous buildings in a few hours .","It is a good start to go on a sightseeing bus on Monday morning , because we can see all the famous buildings in a few hours .","It is a good start to go on a sightseeing bus on Monday morning, because we can see all the famous buildings in a few hours.",{'see'},"{'morning,', 'see', 'hours.'}"
"On Wednesday after we have viseted the National Art Gallery , we can have a chat about our next holiday during the free time in the afternoon .","On Wednesday after we have visited the National Art Gallery , we can have a chat about our next holiday during the free time in the afternoon .","On Wednesday  we have visited the National Art Gallery, we can have a chat about our next holiday during the free time in the afternoon.",{'visited'},"{'visited', 'Gallery,', 'afternoon.'}"
Nowadays the main attroction in the newspapers and on television is the private lives of famous people .,Nowadays the main attraction in the newspapers and on television is the private lives of famous people .,Nowadays the main attraction in the newspapers and on television is the private lives of famous people.,{'attraction'},"{'people.', 'attraction'}"
"On the whole , being rich and famous does n't always bring happeness , whereas the majority of the population wish they were rich and famous .","On the whole , being rich and famous does n't always bring happiness , whereas the majority of the population wish they were rich and famous .","On the whole, being rich and famous doesn't always bring happiness, whereas the majority of the population wish they were rich and famous.",{'happiness'},"{""doesn't"", 'famous.', 'whole,', 'happiness,'}"
Last week we had another demostration of this .,Last week we had another demonstration of this .,Last week we had another demonstration of this.,{'demonstration'},"{'this.', 'demonstration'}"
"i tought you understood ' ; please send money back to me , you know why , do n't answer me ?","i thought you understood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understood '; please send money back to me, you know why, don't answer me?",{'thought'},"{'thought', 'I', ""';"", 'me,', ""don't"", 'why,', 'me?'}"
"not only was i a member of the swimming team in our school , but also i had been tought by my father since i was five years old .","not only was i a member of the swimming team in our school , but also i had been taught by my father since i was five years old .","Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old.",{'taught'},"{'I', 'school,', 'old.', 'Not', 'taught'}"
i would definitely choose basketball and swimming wich are my dream sports .,i would definitely choose basketball and swimming which are my dream sports .,I would definitely choose basketball and swimming which are my dream sports.,{'which'},"{'which', 'I', 'sports.'}"
i wich that my accommodation at camp california it must be in a tent .,i wish that my accommodation at camp california it must be in a tent .,I wish that my accommodation in camp California it must be in a tent.,{'wish'},"{'wish', 'I', 'tent.', 'California'}"
"i would like to ask a few things , especially about the wheather : what is the weather like in july in the u.s.a ? what kind of clothes will i need and how much money should i take with me ? because i have never been to the u.s.a. before i do n't know anything about it .","i would like to ask a few things , especially about the weather : what is the weather like in july in the u.s.a ? what kind of clothes will i need and how much money should i take with me ? because i have never been to the u.s.a. before i do n't know anything about it .","I would like to ask a few things, especially about the weather: what is the weather like in July in the u.s.a? What kind of clothes will I need and how much money should I take with me? Because I have never been to the u.s.a. before, I don't know anything about it.",set(),"{'before,', 'July', 'I', 'it.', 'u.s.a?', 'weather:', 'things,', ""don't"", 'Because', 'me?', 'What'}"
"finally , i would like to ask you wheather there is anything i should bring on this trip such as specific clothes , extra money etc .","finally , i would like to ask you whether there is anything i should bring on this trip such as specific clothes , extra money etc .","Finally, I would like to ask you whether there is anything I should bring on this trip such as specific clothes, extra money etc..",{'whether'},"{'I', 'etc..', 'Finally,', 'clothes,', 'whether'}"
at first i could n't believe that i was a winer,at first i could n't believe that i was a winner,at first I couldn't believe that I was a winner,{'winner'},"{'winner', 'I', ""couldn't""}"
i always get up late in the winer,i always get up late in the winter,I always get up late in the winer,{'winter'},{'I'}
there will be clothes for everyone 's tast .,there will be clothes for everyone 's taste .,There will be clothes for everyone's taste.,{'taste'},"{'There', 'taste.', ""everyone's""}"
people who can not pass the tast will have difficulties in the next semester .,people who can not pass the test will have difficulties in the next semester .,People who cannot pass the test will have difficulties in the next semester.,{'test'},"{'cannot', 'People', 'semester.', 'test'}"
"furthermore , you asked me to choise two activities i would like to do .","furthermore , you asked me to choose two activities i would like to do .","Furthermore, you asked me to choose two activities I would like to do.",{'choose'},"{'I', 'choose', 'Furthermore,', 'do.'}"
"secondly , my choise is the accommodation in tents . i think it could be more interesting . i could enjoy my time with other people playing , eating and talking outside . in my opinion if i choose the log cabin it will be like being at home .","secondly , my choice is the accommodation in tents . i think it could be more interesting . i could enjoy my time with other people playing , eating and talking outside . in my opinion if i choose the log cabin it will be like being at home .","Secondly, my choice is the accommodation in tents. I think it could be more interesting. I could enjoy my time with other people playing, eating and talking outside. In my opinion, if I choose the log cabin it will be like being at home.",{'choice'},"{'interesting.', 'I', 'opinion,', 'playing,', 'tents.', 'Secondly,', 'In', 'choice', 'home.', 'outside.'}"
finaly the show started and to my surprise my favourite actor danny brooke had been replaced by another actor .,finally the show started and to my surprise my favourite actor danny brooke had been replaced by another actor .,Finally the show started and to my surprise my favorite actor Danny Brooke had been replaced by another actor.,{'finally'},"{'Brooke', 'favorite', 'Finally', 'Danny', 'actor.'}"
"prepare finaly chopped green onion , and grated ginger .","prepare finely chopped green onion , and grated ginger .","Prepare finely chopped green onion, and grated ginger.",{'finely'},"{'ginger.', 'finely', 'onion,', 'Prepare'}"
"he needs to rest , but he does n't geve up .","he needs to rest , but he does n't give up .","He needs to rest, but he doesn't give up.",{'give'},"{""doesn't"", 'rest,', 'give', 'He', 'up.'}"
my friend geve me a goya plant yesterday .,my friend gave me a goya plant yesterday .,My friend gave me a Goya plant yesterday.,{'gave'},"{'gave', 'My', 'yesterday.', 'Goya'}"
"in thise book hemingway is trying to tell us , that if we want something , we can get it , it might be difficult and take a long time but we can do it .","in this book hemingway is trying to tell us , that if we want something , we can get it , it might be difficult and take a long time but we can do it .","In this ebook Hemingway is trying to tell us, that if we want something, we can get it, it might be difficult and take a long time but we can do it.",{'this'},"{'us,', 'this', 'ebook', 'In', 'it.', 'it,', 'something,', 'Hemingway'}"
so i feel scared when i think about the consequences if some of the viruses or mad people misuse as happens thise days with sex or other .,so i feel scared when i think about the consequences if some of the viruses or mad people misuse as happens these days with sex or other .,So I feel scared when I think about the consequences if some of the viruses or mad people misuse as happens these days with sex or another.,{'these'},"{'So', 'another.', 'I', 'these'}"
"of couse , the shopkeepers are human beings as well .","of course , the shopkeepers are human beings as well .","Of course, the shopkeepers are human beings as well.",{'course'},"{'Of', 'course,', 'well.'}"
"perhaps couse m . j . , so l listened the beatles .","perhaps cause m . j . , so l listened the beatles .","Perhaps case m. J., so l listened the beatles.",{'cause'},"{'case', 'J.,', 'beatles.', 'Perhaps', 'm.'}"
but when we got into the hous there were all my friends !,but when we got into the house there were all my friends !,But when we got into the house there were all my friends!,{'house'},"{'But', 'friends!', 'house'}"
we 've spent several hous walking and chatting and then went to a restaurant .,we 've spent several hours walking and chatting and then went to a restaurant .,We've spent several hours walking and chatting and then went to a restaurant.,{'hours'},"{'hours', 'restaurant.', ""We've""}"
but when we got into the house ther were all my friends !,but when we got into the house there were all my friends !,But when we got into the house there were all my friends!,{'there'},"{'there', 'But', 'friends!'}"
"they can relax , reduce ther stress and they are happy when they find the thing which they wanted .","they can relax , reduce their stress and they are happy when they find the thing which they wanted .","They can relax, reduce their stress and they are happy when they find the thing which they wanted.",{'their'},"{'They', 'their', 'wanted.', 'relax,'}"
