error,real_correct,predicted_correct,diff_r,diff_p
"WASHINGTON ( AP ) - The nimbar of workets claining job descrinination rased on disability , religion and national origin surged to new highs last year .","WASHINGTON ( AP ) - The number of workers claiming job discrimination based on disability , religion and national origin surged to new highs last year .","The number of workers claiming job discrimination raised for disability, religion and national origin surged to new highs last year.","{'workers', 'based', 'claiming', 'discrimination', 'number'}","{'workers', 'claiming', 'year.', 'for', 'discrimination', 'disability,', 'number', 'raised'}"
"Daney Brire and Scott Hartnell scoted in the saxond period for thee Flers , who were uithout the injured forwards Simon Gagn and Scottie Upshael , and degensenan Brayden Coburn .","Danny Brire and Scott Hartnell scored in the second period for the Flyers , who were without the injured forwards Simon Gagn and Scottie Upshall , and defenseman Braydon Coburn .","Daney Brire and Scott Hartnell scored in the second period for thee Flers, who were without injured forwards Simon Gagn and Scottie Upshael, and degensenan Brayden Coburn.","{'Danny', 'defenseman', 'Braydon', 'Flyers', 'scored', 'without', 'Upshall', 'second'}","{'Flers,', 'Coburn.', 'without', 'scored', 'Upshael,', 'second'}"
"They spenr money on builting a vrand , and that 's how they became successoul .","They spent money on building a brand , and that 's how they became successful .","They spent money on building a new facility, and that's how they became successful.","{'brand', 'building', 'successful', 'spent'}","{'spent', 'building', 'successful.', 'facility,', 'new', ""that's""}"
"Colorado relleed from a two-goal deficit wich three scors in the second period , but Snea Weber tied it with 1 : 53 leet in the second and it remained a 3-3 game tgroughout the third .","Colorado rallied from a two-goal deficit with three scores in the second period , but Shea Weber tied it with 1 : 53 left in the second and it remained a 3-3 game throughout the third .","Colorado rallied from a two-goal deficit with three scores in the second period, but Snea Weber tied it with 1 : 53 lead in the second and it remained a 3-3 game throughout the third.","{'Shea', 'rallied', 'left', 'scores', 'throughout'}","{'third.', 'lead', 'rallied', 'period,', 'scores', 'throughout'}"
"Butt since the messive profots turnek into rnormius write downs , their reputauion has fallen even further in the eyes of the general public .","But since the massive profits turned into enormous write downs , their reputation has fallen even further in the eyes of the general public .","Since the massive profits turned into rnormius write downs, their reputation has fallen even further in the eyes of the general public.","{'reputation', 'But', 'enormous', 'massive', 'profits', 'turned'}","{'reputation', 'public.', 'massive', 'profits', 'Since', 'downs,', 'turned'}"
The panel said Congress shoul draft legislarion to create eithin the Interior Department an indepindent safety agency and a separate evironental onfice to evaluate the risks of oil dtelling too natural resources .,The panel said Congress should draft legislation to create within the Interior Department an independent safety agency and a separate environmental office to evaluate the risks of oil drilling to natural resources .,The panel said Congress should draft legislation to create within the Interior Department an independent safety agency and a separate environmental office to evaluate the risks of oil telling too natural resources.,"{'office', 'should', 'drilling', 'independent', 'within', 'environmental', 'legislation'}","{'office', 'should', 'independent', 'within', 'telling', 'resources.', 'environmental', 'legislation'}"
"Interestinly , the UK and Denmark had aower survival than cauntrie with simslar TNEH , and Fitland had better survival hhan expected frim its "" aoderate "" healyh expendieure .","Interestingly , the UK and Denmark had lower survival than countries with similar TNEH , and Finland had better survival than expected from its "" moderate "" health expenditure .","Interestingly, the UK and Denmark had lower survival than countries with similar TNEH, and Fitland had better survival expected from its "" aoderate "" health expenditure.","{'health', 'Finland', 'expenditure', 'moderate', 'lower', 'similar', 'Interestingly', 'countries', 'from'}","{'health', 'lower', 'similar', 'countries', 'Interestingly,', 'from', 'TNEH,', 'expenditure.'}"
I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,"I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND, ESPECIALLY, FOR TAKING US ON THE RIVER TRIP TO Greenwich.",{'THANK'},"{'THANK', 'Greenwich.', 'ESPECIALLY,', 'AND,'}"
"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASS , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASES , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION, FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, in some cases, costs more than they deserve to pay.",{'CASES'},"{'to', 'in', 'cases,', 'costs', 'than', 'OPINION,', 'THAT,', 'pay.', 'more', 'deserve', 'some', 'they'}"
"Also , I want to say that the plays and films were exellent , but there were n't enough of them for me .","Also , I want to say that the plays and films were excellent , but there were n't enough of them for me .","Also, I want to say that the plays and films were excellent, but there weren't enough of them for me.",{'excellent'},"{""weren't"", 'me.', 'Also,', 'excellent,'}"
In our Acadamy we are not allowed to smoke .,In our Academy we are not allowed to smoke .,"In our academy, we are not allowed to smoke.",{'Academy'},"{'smoke.', 'academy,'}"
I was trully dissapointed by it .,I was truly disappointed by it .,I was truly disappointed by it.,"{'disappointed', 'truly'}","{'it.', 'truly', 'disappointed'}"
"Secondly , I had to wait fourty - five minutes before the show finally began .","Secondly , I had to wait forty - five minutes before the show finally began .","Secondly, I had to wait forty - five minutes before the show finally began.",{'forty'},"{'began.', 'Secondly,', 'forty'}"
I 'd like you to send the money to this adress : ul Taklowa 10,I 'd like you to send the money to this address : ul Taklowa 10,I'd like you to send the money to this address: UL Taklowa 10 .,{'address'},"{""I'd"", 'UL', '.', 'address:'}"
It is a dream becames true and was really unexpected for me !,It is a dream come true and was really unexpected for me !,It is a dream becomes true and was really unexpected for me!,{'come'},"{'becomes', 'me!'}"
"If not , what do you sugest ?","If not , what do you suggest ?","If not, what do you suggest?",{'suggest'},"{'suggest?', 'not,'}"
"The festival was excenent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways, and in particular it being an international festival was a challenging, but brilliant idea.",{'excellent'},"{'ways,', 'challenging,', 'excellent', 'idea.'}"
MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLAINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,My name is James Cameron and I am writing this letter to you because I have some problems regarding the DISAPPOINTING EVENING I had last night.,{'COMPLAINTS'},"{'you', 'letter', 'to', 'and', 'last', 'regarding', 'problems', 'James', 'am', 'writing', 'My', 'had', 'night.', 'this', 'Cameron', 'name', 'have', 'because', 'some', 'the'}"
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAIZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE advertisement it clearly states that the show starts at 19.30, and I got really mad when I LOOKED at my watch and noticed that I had been waiting for 40 (FORTY) minutes and the show hadn't started yet... I mean it was AMAIZING!",{'AMAZING'},"{'and', 'waiting', 'yet...', 'advertisement', 'that', 'AMAIZING!', 'got', 'was', 'mad', 'clearly', 'really', 'starts', 'mean', 'minutes', 'been', 'it', 'for', 'had', '19.30,', 'watch', 'states', 'show', 'at', 'noticed', 'started', ""hadn't"", 'my', 'when', '(FORTY)', 'the'}"
I COULDN'T BELIVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I COULDN'T BELIEVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I couldn't understand it. HOW CAN THIS CLASS OF THEATRE BE SO..,{'BELIEVE'},"{'understand', ""couldn't"", 'it.', 'SO..'}"
"OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMEND MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMAND MY MONEY BACK !","OH I'M GETTING MAD AGAIN, so I am going to tell you one last thing, it was the most horrible night I have ever had so I will definitely give my money back!",{'DEMAND'},"{'you', 'night', 'to', 'last', 'ever', 'GETTING', 'will', 'was', 'definitely', 'AGAIN,', 'am', 'it', 'one', 'so', 'had', 'most', 'give', 'back!', 'horrible', 'money', 'tell', 'have', 'my', 'thing,', 'going', 'the'}"
MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE CONFORTNESSCOMFORTABLE WE GET .,MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE COMFORTCOMFORTABLE WE GET .,"Modern technology has affected me in several ways. I mean the more technology advances, the more comfortably we get.",{'COMFORTCOMFORTABLE'},"{'technology', 'several', 'in', 'me', 'mean', 'Modern', 'affected', 'has', 'ways.', 'advances,', 'more', 'comfortably', 'get.', 'the', 'we'}"
BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE .,BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PASSIVE PERSON AND NOT SO ACTIVE .,BUT I think that with modern technology we GET more comfortable so that makes me a pacifist person and not so active.,{'PASSIVE'},"{'technology', 'modern', 'a', 'person', 'and', 'me', 'that', 'comfortable', 'makes', 'we', 'with', 'active.', 'not', 'pacifist', 'more', 'so', 'think'}"
"THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING CONFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING COMFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","This can be bad too because if I get used to being comfortable, when I need to do hard work, I won't be able to.",{'COMFORTABLE'},"{'if', 'to', 'able', 'need', 'be', 'being', 'too', 'get', 'do', ""won't"", 'can', 'comfortable,', 'work,', 'to.', 'used', 'bad', 'This', 'because', 'hard', 'when'}"
"Everybody attented go to the show , funny , and happ in the end , and what have we go then ?","Everybody attented go to the show , funny , and happy in the end , and what have we go then ?","Everybody hoped to go to the show, funny, and happy in the end, and what have we gone then?",{'happy'},"{'happy', 'hoped', 'funny,', 'end,', 'gone', 'show,', 'then?'}"
Disapponted !,Disappointed !,Disappointed!,{'Disappointed'},{'Disappointed!'}
"If you could not manage the programe , why did n't you informe people before the programe started ?","If you could not manage the programme , why did n't you inform people before the programme started ?","If you could not manage the program, why didn't you inform people before the program started?","{'programme', 'inform'}","{'program,', ""didn't"", 'program', 'started?', 'inform'}"
"i tought you understood ' ; please send money back to me , you know why , do n't answer me ?","i thought you understood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understood'; please send money back to me, you know why, don't answer me?",{'thought'},"{'me?', ""understood';"", 'why,', 'I', 'thought', ""don't"", 'me,'}"
"not only was i a member of the swimming team in our school , but also i had been tought by my father since i was five years old .","not only was i a member of the swimming team in our school , but also i had been taught by my father since i was five years old .","Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old.",{'taught'},"{'old.', 'taught', 'Not', 'I', 'school,'}"
i would definitely choose basketball and swimming wich are my dream sports .,i would definitely choose basketball and swimming which are my dream sports .,"I would definitely choose basketball and swimming, which are my dream sports.",{'which'},"{'swimming,', 'which', 'sports.', 'I'}"
i wich that my accommodation at camp california it must be in a tent .,i wish that my accommodation at camp california it must be in a tent .,I wish that my accommodation in camp California must be in a tent.,{'wish'},"{'wish', 'California', 'tent.', 'I'}"
"i would like to ask a few things , especially about the wheather : what is the weather like in july in the u.s.a ? what kind of clothes will i need and how much money should i take with me ? because i have never been to the u.s.a. before i do n't know anything about it .","i would like to ask a few things , especially about the weather : what is the weather like in july in the u.s.a ? what kind of clothes will i need and how much money should i take with me ? because i have never been to the u.s.a. before i do n't know anything about it .","I would like to ask a few things, especially about the weather: what is the weather like in July in the United States? What kind of clothes will I need and how much money should I take with me? Because I have never been to the United States before, I don't know anything about it.",set(),"{'me?', 'States', 'United', 'things,', 'before,', 'weather:', 'What', 'Because', 'July', ""don't"", 'I', 'it.', 'States?'}"
"finally , i would like to ask you wheather there is anything i should bring on this trip such as specific clothes , extra money etc .","finally , i would like to ask you whether there is anything i should bring on this trip such as specific clothes , extra money etc .","Finally, I would like to ask you whether there is anything I should bring on this trip such as specific clothes, extra money, etc.",{'whether'},"{'Finally,', 'whether', 'I', 'money,', 'clothes,', 'etc.'}"
at first i could n't believe that i was a winer,at first i could n't believe that i was a winner,At first I couldn't believe that I was a winner.,{'winner'},"{'At', 'I', ""couldn't"", 'winner.'}"
i always get up late in the winer,i always get up late in the winter,I always get up late in the night.,{'winter'},"{'I', 'night.'}"
there will be clothes for everyone 's tast .,there will be clothes for everyone 's taste .,There will be clothes for everyone's taste.,{'taste'},"{'There', 'taste.', ""everyone's""}"
people who can not pass the tast will have difficulties in the next semester .,people who can not pass the test will have difficulties in the next semester .,People who cannot pass the test will have difficulties in the next semester.,{'test'},"{'test', 'semester.', 'People', 'cannot'}"
"furthermore , you asked me to choise two activities i would like to do .","furthermore , you asked me to choose two activities i would like to do .","Furthermore, you asked me to choose two activities I would like to do.",{'choose'},"{'choose', 'I', 'do.', 'Furthermore,'}"
"secondly , my choise is the accommodation in tents . i think it could be more interesting . i could enjoy my time with other people playing , eating and talking outside . in my opinion if i choose the log cabin it will be like being at home .","secondly , my choice is the accommodation in tents . i think it could be more interesting . i could enjoy my time with other people playing , eating and talking outside . in my opinion if i choose the log cabin it will be like being at home .","Secondly, my choice is the accommodation in tents. I think it could be more interesting. I could enjoy my time with other people playing, eating and talking outside. In my opinion, if I choose the log cabin it will be like being at home.",{'choice'},"{'interesting.', 'In', 'I', 'Secondly,', 'choice', 'home.', 'outside.', 'opinion,', 'tents.', 'playing,'}"
finaly the show started and to my surprise my favourite actor danny brooke had been replaced by another actor .,finally the show started and to my surprise my favourite actor danny brooke had been replaced by another actor .,Finally the show started and to my surprise my favorite actor Danny Brooke had been replaced by another actor.,{'finally'},"{'Danny', 'Brooke', 'Finally', 'favorite', 'actor.'}"
"prepare finaly chopped green onion , and grated ginger .","prepare finely chopped green onion , and grated ginger .","Prepare finely chopped green onion, and grated ginger.",{'finely'},"{'Prepare', 'onion,', 'ginger.', 'finely'}"
"he needs to rest , but he does n't geve up .","he needs to rest , but he does n't give up .","He needs to rest, but he doesn't give up.",{'give'},"{""doesn't"", 'rest,', 'give', 'He', 'up.'}"
my friend geve me a goya plant yesterday .,my friend gave me a goya plant yesterday .,My friend gave me a Goya plant yesterday.,{'gave'},"{'My', 'Goya', 'yesterday.', 'gave'}"
"in thise book hemingway is trying to tell us , that if we want something , we can get it , it might be difficult and take a long time but we can do it .","in this book hemingway is trying to tell us , that if we want something , we can get it , it might be difficult and take a long time but we can do it .","In this ebook, Hemingway is trying to tell us that if we want something, we can get it, it might be difficult and take a long time, but we can do it.",{'this'},"{'time,', 'ebook,', 'In', 'something,', 'Hemingway', 'it,', 'this', 'it.'}"
so i feel scared when i think about the consequences if some of the viruses or mad people misuse as happens thise days with sex or other .,so i feel scared when i think about the consequences if some of the viruses or mad people misuse as happens these days with sex or other .,So I feel scared when I think about the consequences if some of the viruses or mad people misuse as happens these days with sex or another.,{'these'},"{'another.', 'these', 'So', 'I'}"
"of couse , the shopkeepers are human beings as well .","of course , the shopkeepers are human beings as well .","Of course, the shopkeepers are human beings as well.",{'course'},"{'course,', 'well.', 'Of'}"
"perhaps couse m . j . , so l listened the beatles .","perhaps cause m . j . , so l listened the beatles .","Perhaps case m. J., so l listened to the beatles.",{'cause'},"{'to', 'm.', 'case', 'J.,', 'beatles.', 'Perhaps'}"
"after a few seconds of tought i went straight to pat . "" why , why did you do that ? ""","after a few seconds of thought i went straight to pat . "" why , why did you do that ? ""","After a few seconds of thought I went straight to the point. "" Why did you do that? """,{'thought'},"{'point.', 'After', 'Why', 'I', 'that?', 'thought', 'the'}"
"i tought that dany brook , who is my favourite actor , would perform in that show .","i thought that dany brook , who is my favourite actor , would perform in that show .","I thought that Dany brook, who is my favorite actor, would perform in that show.",{'thought'},"{'brook,', 'Dany', 'favorite', 'I', 'show.', 'actor,', 'thought'}"
"and when we understood the internet , we tought that meeting people from other countries and being able "" to chat "" with them was the height of technology .","and when we understood the internet , we thought that meeting people from other countries and being able "" to chat "" with them was the height of technology .","And when we understood the internet, we thought that meeting people from other countries and being able "" to chat "" with them was the height of technology.",{'thought'},"{'internet,', 'thought', 'technology.', 'And'}"
"as you know , we are in england to learn your language and also to learn about your lifestyle , and we tought this show would be a good opportunity for us to discover this aspect of your country !","as you know , we are in england to learn your language and also to learn about your lifestyle , and we thought this show would be a good opportunity for us to discover this aspect of your country !","As you know, we are in England to learn your language and also to learn about your lifestyle, and we thought this show would be a good opportunity for us to discover this aspect of your country!",{'thought'},"{'country!', 'lifestyle,', 'thought', 'England', 'As', 'know,'}"
"i tought i would never need a mobile phone , but my mum and dad gave me one for christmas last year and now i ca n't live without it !","i thought i would never need a mobile phone , but my mum and dad gave me one for christmas last year and now i ca n't live without it !","I thought I would never need a mobile phone, but my mum and dad gave me one for Christmas last year and now I can't live without it!",{'thought'},"{'phone,', ""can't"", 'it!', 'I', 'Christmas', 'thought'}"
"i also like surfing . i think it is a dangerous sport , but i know how to do it , because of the fact that last year a professional surfer tought me .","i also like surfing . i think it is a dangerous sport , but i know how to do it , because of the fact that last year a professional surfer taught me .","I also like surfing. I think it is a dangerous sport, but I know how to do it, because of the fact that last year a professional surfer taught me.",{'taught'},"{'it,', 'surfing.', 'taught', 'I', 'me.', 'sport,'}"
"not only was i a member of the swimming team in our school , but also i had been tought by my father since i was five years old .","not only was i a member of the swimming team in our school , but also i had been taught by my father since i was five years old .","Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old.",{'taught'},"{'old.', 'taught', 'Not', 'I', 'school,'}"
"as regards painting , i know a lot about it since my grandmother tought me when i was five years old .","as regards painting , i know a lot about it since my grandmother taught me when i was five years old .","As regards painting, I know a lot about it since my grandmother taught me when I was five years old.",{'taught'},"{'old.', 'taught', 'As', 'I', 'painting,'}"
i met a lot of different people and they all tought me something new about behaviour or compassion .,i met a lot of different people and they all taught me something new about behaviour or compassion .,I met a lot of different people and they all taught me something new about behavior or compassion.,{'taught'},"{'I', 'taught', 'compassion.', 'behavior'}"
they tought me specially .,they taught me specially .,They taught me specially.,{'taught'},"{'taught', 'They', 'specially.'}"
"lastly , there is a recycling problem , wich many people do not care about .","lastly , there is a recycling problem , which many people do not care about .","Lastly, there is a recycling problem, which many people do not care about.",{'which'},"{'about.', 'which', 'Lastly,', 'problem,'}"
"firstly , the great boom in mass communication wich happened at the beginning of our decade , with the development of telephones , radio stations , television and even satellites , and of course , the internet , gave ordinary people the chance to take off on a trip all over the world , and this allowed health and education research to increase as well .","firstly , the great boom in mass communication which happened at the beginning of our decade , with the development of telephones , radio stations , television and even satellites , and of course , the internet , gave ordinary people the chance to take off on a trip all over the world , and this allowed health and education research to increase as well .","Firstly, the great boom in mass communication which happened at the beginning of our decade, with the development of telephones, radio stations, television and even satellites, and of course, the internet, gave ordinary people the chance to take off on a trip all over the world, and this allowed health and education research to increase as well.",{'which'},"{'course,', 'decade,', 'internet,', 'telephones,', 'which', 'Firstly,', 'stations,', 'well.', 'satellites,', 'world,'}"
i 'd seen your advertisement wich recommended the play ' over the rainbow ' and i liked it very much .,i 'd seen your advertisement which recommended the play ' over the rainbow ' and i liked it very much .,I'd seen your advertisement which recommended the play ' over the rainbow ' and I liked it very much.,{'which'},"{'which', ""I'd"", 'much.', 'I'}"
"there are the natural materials on one side whereas on the other side the fashion industry produces more and more synthetic materials , wich relay on the production cost .","there are the natural materials on one side whereas on the other side the fashion industry produces more and more synthetic materials , which relay on the production cost .","There are natural materials on one side, whereas on the other side the fashion industry produces more and more synthetic materials, which relay on the production cost.",{'which'},"{'side,', 'which', 'materials,', 'There', 'cost.'}"
"my main work was to take people to their seats because of a concert hall , wich was the millennium dome .","my main work was to take people to their seats because of a concert hall , which was the millennium dome .","My main work was to take people to their seats because of a concert hall, which was the millennium dome.",{'which'},"{'My', 'hall,', 'which', 'dome.'}"
"therefore i am thinking of selling my car , wich has changed my life over the last 10 years , wich has given me a kind of freedom , wich has gone with me to all sorts of fantastic places , and changed my life for a new life : without a car .","therefore i am thinking of selling my car , which has changed my life over the last 10 years , which has given me a kind of freedom , which has gone with me to all sorts of fantastic places , and changed my life for a new life : without a car .","Therefore, I am thinking of selling my car, which has changed my life over the last 10 years, which has given me a kind of freedom, which has gone with me to all sorts of fantastic places, and changed my life for a new life: without a car.",{'which'},"{'freedom,', 'which', 'life:', 'Therefore,', 'car,', 'car.', 'I', 'years,', 'places,'}"
"for example , recently i was shopping at the market , wich is located in the centre of our town .","for example , recently i was shopping at the market , which is located in the centre of our town .","For example, recently I was shopping at the market, which is located in the center of our town.",{'which'},"{'center', 'example,', 'market,', 'which', 'For', 'I', 'town.'}"
from the list of activities in wich i will have a chance to compete i have chosen basketball and swimming .,from the list of activities in which i will have a chance to compete i have chosen basketball and swimming .,From the list of activities in which I will have a chance to compete I have chosen basketball and swimming.,{'which'},"{'I', 'which', 'swimming.', 'From'}"
we live surrounded by inventions wich help as through the day .,we live surrounded by inventions which help as through the day .,We live surrounded by inventions which help us through the day.,{'which'},"{'We', 'which', 'us', 'day.'}"
"to summarize , the modern technologies give you and allow you to do many things wich would be impossible in the past but also creates many problems .","to summarize , the modern technologies give you and allow you to do many things which would be impossible in the past but also creates many problems .","To summarize, modern technologies give you and allow you to do many things which would be impossible in the past but also create many problems.",{'which'},"{'problems.', 'summarize,', 'which', 'create', 'To'}"
"I have just recieved the letter , which lets me know that I have won the first prize .","I have just received the letter , which lets me know that I have won the first prize .","I have just received the letter, which lets me know that I have won the first prize.",{'received'},"{'letter,', 'prize.', 'received'}"
This is because I intend to take an examination in Septenber .,This is because I intend to take an examination in September .,This is because I intend to take an examination in September.,{'September'},{'September.'}
